,지역,연평균 미세먼지(PM-10),낮시간 소음도 ,국토면적,산림면적,임목축적,산림율,평균 임목축적,2019년 가로수 조성 현황(종),자치단체명,세입총계,해면기압 10년 평균(hPa),평균기온 10년 평균(℃),최고기온 10년 평균(℃),최저기온 10년 평균(℃),강수량 10년 평균(㎜),상대습도 10년 평균(%),일조시간 10년 평균(시간),나무종류,나무수량
0,서울특별시 벚나무,9121111,69,60523,15323,2282684,25.32,148.97,은행나무,서울본청,52387838215000,1016.4,13.0,17.8,9.0,1274.2,59.3,2440.4,벚나무,
1,서울특별시 왕벚나무,9121111,69,60523,15323,2282684,25.32,148.97,은행나무,서울본청,52387838215000,1016.4,13.0,17.8,9.0,1274.2,59.3,2440.4,왕벚나무,32641.0
2,서울특별시 은행나무,9121111,69,60523,15323,2282684,25.32,148.97,은행나무,서울본청,52387838215000,1016.4,13.0,17.8,9.0,1274.2,59.3,2440.4,은행나무,109784.0
3,서울특별시 메타세쿼이어,9121111,69,60523,15323,2282684,25.32,148.97,은행나무,서울본청,52387838215000,1016.4,13.0,17.8,9.0,1274.2,59.3,2440.4,메타세쿼이어,5316.0
4,서울특별시 양버즘나무,9121111,69,60523,15323,2282684,25.32,148.97,은행나무,서울본청,52387838215000,1016.4,13.0,17.8,9.0,1274.2,59.3,2440.4,양버즘나무,64007.0
5,서울특별시 단풍나무,9121111,69,60523,15323,2282684,25.32,148.97,은행나무,서울본청,52387838215000,1016.4,13.0,17.8,9.0,1274.2,59.3,2440.4,단풍나무,1522.0
6,서울특별시 중국단풍,9121111,69,60523,15323,2282684,25.32,148.97,은행나무,서울본청,52387838215000,1016.4,13.0,17.8,9.0,1274.2,59.3,2440.4,중국단풍,1049.0
7,서울특별시 백합나무,9121111,69,60523,15323,2282684,25.32,148.97,은행나무,서울본청,52387838215000,1016.4,13.0,17.8,9.0,1274.2,59.3,2440.4,백합나무,956.0
8,서울특별시 배롱나무,9121111,69,60523,15323,2282684,25.32,148.97,은행나무,서울본청,52387838215000,1016.4,13.0,17.8,9.0,1274.2,59.3,2440.4,배롱나무,2743.0
9,서울특별시 이팝나무,9121111,69,60523,15323,2282684,25.32,148.97,은행나무,서울본청,52387838215000,1016.4,13.0,17.8,9.0,1274.2,59.3,2440.4,이팝나무,16460.0
10,서울특별시 곰솔,9121111,69,60523,15323,2282684,25.32,148.97,은행나무,서울본청,52387838215000,1016.4,13.0,17.8,9.0,1274.2,59.3,2440.4,곰솔,
11,서울특별시 무궁화,9121111,69,60523,15323,2282684,25.32,148.97,은행나무,서울본청,52387838215000,1016.4,13.0,17.8,9.0,1274.2,59.3,2440.4,무궁화,2295.0
12,부산광역시 벚나무,6635661,66,77007,34926,6268223,45.35,179.47,왕벚나무,부산본청,16690868257000,1015.8,15.2,19.4,11.9,1614.1,62.5,2568.0,벚나무,288.0
13,부산광역시 왕벚나무,6635661,66,77007,34926,6268223,45.35,179.47,왕벚나무,부산본청,16690868257000,1015.8,15.2,19.4,11.9,1614.1,62.5,2568.0,왕벚나무,50364.0
14,부산광역시 은행나무,6635661,66,77007,34926,6268223,45.35,179.47,왕벚나무,부산본청,16690868257000,1015.8,15.2,19.4,11.9,1614.1,62.5,2568.0,은행나무,34843.0
15,부산광역시 메타세쿼이어,6635661,66,77007,34926,6268223,45.35,179.47,왕벚나무,부산본청,16690868257000,1015.8,15.2,19.4,11.9,1614.1,62.5,2568.0,메타세쿼이어,3375.0
16,부산광역시 양버즘나무,6635661,66,77007,34926,6268223,45.35,179.47,왕벚나무,부산본청,16690868257000,1015.8,15.2,19.4,11.9,1614.1,62.5,2568.0,양버즘나무,7934.0
17,부산광역시 단풍나무,6635661,66,77007,34926,6268223,45.35,179.47,왕벚나무,부산본청,16690868257000,1015.8,15.2,19.4,11.9,1614.1,62.5,2568.0,단풍나무,359.0
18,부산광역시 중국단풍,6635661,66,77007,34926,6268223,45.35,179.47,왕벚나무,부산본청,16690868257000,1015.8,15.2,19.4,11.9,1614.1,62.5,2568.0,중국단풍,2232.0
19,부산광역시 백합나무,6635661,66,77007,34926,6268223,45.35,179.47,왕벚나무,부산본청,16690868257000,1015.8,15.2,19.4,11.9,1614.1,62.5,2568.0,백합나무,1002.0
20,부산광역시 배롱나무,6635661,66,77007,34926,6268223,45.35,179.47,왕벚나무,부산본청,16690868257000,1015.8,15.2,19.4,11.9,1614.1,62.5,2568.0,배롱나무,
21,부산광역시 이팝나무,6635661,66,77007,34926,6268223,45.35,179.47,왕벚나무,부산본청,16690868257000,1015.8,15.2,19.4,11.9,1614.1,62.5,2568.0,이팝나무,13724.0
22,부산광역시 곰솔,6635661,66,77007,34926,6268223,45.35,179.47,왕벚나무,부산본청,16690868257000,1015.8,15.2,19.4,11.9,1614.1,62.5,2568.0,곰솔,4020.0
23,부산광역시 무궁화,6635661,66,77007,34926,6268223,45.35,179.47,왕벚나무,부산본청,16690868257000,1015.8,15.2,19.4,11.9,1614.1,62.5,2568.0,무궁화,
24,대구광역시 벚나무,3062618,67,88349,48338,8745821,54.71,180.93,은행나무,대구본청,11649756416000,1016.7,14.9,20.1,10.4,1110.1,56.8,2442.3,벚나무,346.0
25,대구광역시 왕벚나무,3062618,67,88349,48338,8745821,54.71,180.93,은행나무,대구본청,11649756416000,1016.7,14.9,20.1,10.4,1110.1,56.8,2442.3,왕벚나무,27084.0
26,대구광역시 은행나무,3062618,67,88349,48338,8745821,54.71,180.93,은행나무,대구본청,11649756416000,1016.7,14.9,20.1,10.4,1110.1,56.8,2442.3,은행나무,52015.0
27,대구광역시 메타세쿼이어,3062618,67,88349,48338,8745821,54.71,180.93,은행나무,대구본청,11649756416000,1016.7,14.9,20.1,10.4,1110.1,56.8,2442.3,메타세쿼이어,2531.0
28,대구광역시 양버즘나무,3062618,67,88349,48338,8745821,54.71,180.93,은행나무,대구본청,11649756416000,1016.7,14.9,20.1,10.4,1110.1,56.8,2442.3,양버즘나무,30029.0
29,대구광역시 단풍나무,3062618,67,88349,48338,8745821,54.71,180.93,은행나무,대구본청,11649756416000,1016.7,14.9,20.1,10.4,1110.1,56.8,2442.3,단풍나무,6176.0
