,해면기압 10년 평균(hPa),평균기온 10년 평균(℃),최고기온 10년 평균(℃),최저기온 10년 평균(℃),강수량 10년 평균(㎜),상대습도 10년 평균(%),일조시간 10년 평균(시간),2019년 가로수 조성 현황(종)
서울특별시,1016.4,13,17.8,9,1274.2,59.3,2440.4,은행나무
부산광역시,1015.8,15.2,19.4,11.9,1614.1,62.5,2568,왕벚나무
대구광역시,1016.7,14.9,20.1,10.4,1110.1,56.8,2442.3,은행나무
인천광역시,1016.5,12.6,16.4,9.4,1102.7,70.7,2560.9,은행나무
광주광역시,1016.8,14.4,19.7,10.2,1347.1,68.7,2297.7,은행나무
대전광역시,1016.8,13.4,18.8,8.8,1291.2,69.3,2421,왕벚나무
울산광역시,1015.9,14.5,19.4,10.3,1278.3,65.2,2415.2,왕벚나무
세종특별자치시,1016.71,13.3,19.5,8.5,1176.5,70.3,2214.9,왕벚나무
경기도,1016.7,12.8,18.2,8.2,1294.1,69.4,2407,은행나무
강원특별자치도,1015.6,13.7,18,9.9,1391.3,57.3,2369.1,은행나무
충청북도,1016.8,12.1,18.2,6.7,1168,65.7,2271.9,은행나무
충청남도,1017.1,12.3,17.6,7.5,1156.5,76.2,2395.2,왕벚나무
전라북도,1016.8,13.1,17.9,9,1265.4,77.8,2366.6,왕벚나무
전라남도,1016.7,14,18.1,10.7,1193.9,78.3,2270.6,왕벚나무
경상북도,1016.2,13.4,19.6,8,1121.2,66.9,2261.7,은행나무
경상남도,1016,14.6,19.4,10.7,1436.2,63.1,2399,은행나무
제주특별자치도,1016.5,16.5,19.6,13.8,1520.7,70.2,1842.7,왕벚나무
