지점명,2019년 가로수 조성 현황(종),,해면기압 평균(hPa),해면기압 표준편차(hPa),평균기온 평균(℃),평균기온 표준편차(℃),최고기온 평균(℃),최저기온 평균(℃),강수량 합계(㎜),강수량 표준편차(㎜),강수량 계속시간(시간),상대습도 평균(%),증기압 평균(hPa),증기압 표준편차(hPa),일조시간 합계(시간),수평면일사량 합계(MJ/㎡)
강원특별자치도,은행나무,1월,1022.7,0.9,1,2.1,5.4,-2.6,37.5,29.9,,42.5,3.2,0.7,207.5,276
강원특별자치도,은행나무,2월,1022.1,1.5,2.4,1.5,6.9,-1.5,56.2,57.8,,48.7,3.8,0.7,192.2,324.4
강원특별자치도,은행나무,3월,1018.2,1.8,7.7,1.3,12.4,3.1,58.1,33.3,,49.2,5,0.7,222.2,459.3
강원특별자치도,은행나무,4월,1014,1.9,13,1.5,17.9,8.2,99.9,47.7,,51.3,7.2,0.5,220.5,543.2
강원특별자치도,은행나무,5월,1010.3,1.1,18.8,1.6,23.7,14.2,55.4,51.2,,55.1,11.1,1.1,242.3,643.5
강원특별자치도,은행나무,6월,1007.6,1,21.8,1.1,25.8,18.1,114.6,113.8,,67.7,17.1,1.3,191.6,571.8
강원특별자치도,은행나무,7월,1006.9,1.4,25.2,1.6,28.6,22.2,244.8,110.3,,72.5,22.5,1.4,168.9,505.6
강원특별자치도,은행나무,8월,1008,1.3,25.8,1.4,29.5,22.7,259.4,125.4,,73.3,23.9,1.7,171,477.7
강원특별자치도,은행나무,9월,1014.1,1.2,20.6,0.5,24.7,17.2,218.8,165.7,,71.3,17.2,1.1,170.3,416.9
강원특별자치도,은행나무,10월,1019.2,1.3,15.5,0.7,20.2,11.6,132.5,159.5,,60.7,10.7,1.2,198.4,369.7
강원특별자치도,은행나무,11월,1021,2.1,9.8,1.1,14.1,5.9,84,101.7,,52.4,6.7,1.3,180.8,262
강원특별자치도,은행나무,12월,1022.7,1.7,2.8,1.8,7.2,-0.9,30.1,36.5,,42.7,3.7,0.6,203.4,257.2
