,연평균 미세먼지(PM-10),낮시간 소음도 ,국토면적,산림면적,임목축적,산림율,평균 임목축적,2019년 가로수 조성 현황(종),자치단체명,세입총계,해면기압 10년 평균(hPa),평균기온 10년 평균(℃),최고기온 10년 평균(℃),최저기온 10년 평균(℃),강수량 10년 평균(㎜),상대습도 10년 평균(%),일조시간 10년 평균(시간)
서울특별시,9121111,69,"60,523","15,323","2,282,684",25.32,148.97,은행나무,서울본청,"52,387,838,215,000",1016.4,13,17.8,9,1274.2,59.3,2440.4
부산광역시,6635661,66,"77,007","34,926","6,268,223",45.35,179.47,왕벚나무,부산본청,"16,690,868,257,000",1015.8,15.2,19.4,11.9,1614.1,62.5,2568
대구광역시,3062618,67,"88,349","48,338","8,745,821",54.71,180.93,은행나무,대구본청,"11,649,756,416,000",1016.7,14.9,20.1,10.4,1110.1,56.8,2442.3
인천광역시,6772237,66,"106,523","39,373","5,705,792",36.96,144.92,은행나무,인천본청,"15,379,013,711,000",1016.5,12.6,16.4,9.4,1102.7,70.7,2560.9
광주광역시,1763931,63,"50,113","18,944","2,806,238",37.8,148.13,은행나무,광주본청,"7,467,959,832,000",1016.8,14.4,19.7,10.2,1347.1,68.7,2297.7
대전광역시,1452646,66,"53,966","29,764","5,006,992",55.15,168.22,왕벚나무,대전본청,"7,540,100,248,000",1016.8,13.4,18.8,8.8,1291.2,69.3,2421
울산광역시,3212799,60,"106,209","68,001","11,401,826",64.03,167.67,왕벚나무,울산본청,"5,194,230,336,000",1015.9,14.5,19.4,10.3,1278.3,65.2,2415.2
세종특별자치시,886891,64,"46,491","24,849","3,839,903",53.45,154.53,왕벚나무,세종본청,"2,503,293,576,000",1016.71,13.3,19.5,8.5,1176.5,70.3,2214.9
경기도,28075782,61,"1,019,527","512,105","81,057,717",50.23,158.28,은행나무,경기본청,"38,229,645,876,000",1016.7,12.8,18.2,8.2,1294.1,69.4,2407
강원특별자치도,7946339,68,"1,682,968","1,366,644","250,792,917",81.2,183.51,은행나무,강원본청,"8,676,740,292,000",1015.6,13.7,18,9.9,1391.3,57.3,2369.1
충청북도,8235661,66,"740,695","488,337","78,091,550",65.93,159.91,은행나무,충북본청,"7,774,159,302,000",1016.8,12.1,18.2,6.7,1168,65.7,2271.9
충청남도,12765996,61,"824,617","404,097","59,154,844",49,146.39,왕벚나무,충남본청,"9,890,664,709,000",1017.1,12.3,17.6,7.5,1156.5,76.2,2395.2
전라북도,8692161,67,"806,984","440,746","71,494,501",54.62,162.21,왕벚나무,전북본청,"9,861,808,073,000",1016.8,13.1,17.9,9,1265.4,77.8,2366.6
전라남도,13921936,60,"1,234,809","686,852","88,048,613",55.62,128.19,왕벚나무,전남본청,"11,809,873,234,000",1016.7,14,18.1,10.7,1193.9,78.3,2270.6
경상북도,17685102,60,"1,903,403","1,333,691","228,240,999",70.07,171.13,은행나무,경북본청,"13,372,746,411,000",1016.2,13.4,19.6,8,1121.2,66.9,2261.7
경상남도,10404086,63,"1,054,055","698,810","124,449,446",66.3,178.09,은행나무,경남본청,"12,742,649,623,000",1016,14.6,19.4,10.7,1436.2,63.1,2399
제주특별자치도,2739143,33,"185,021","87,334","13,059,207",47.2,149.53,왕벚나무,제주본청,"8,070,231,073,000",1016.5,16.5,19.6,13.8,1520.7,70.2,1842.7
