지역,평균기온 평균(℃),최고기온 평균(℃),최저기온 평균(℃),강수량 합계(㎜),상대습도 평균(%),일조시간 합계(시간),수평면일사량 합계(MJ/㎡),가로수 선정(종),계절
1.0,1.0,5.4,2.6,37.5,42.5,207.5,276.0,3.0,겨울
1.0,2.4,6.9,1.5,56.2,48.7,192.2,324.4,3.0,겨울
1.0,7.7,12.4,3.1,58.1,49.2,222.2,459.3,3.0,봄
1.0,13.0,17.9,8.2,99.9,51.3,220.5,543.2,3.0,봄
1.0,18.8,23.7,14.2,55.4,55.1,242.3,643.5,3.0,봄
1.0,21.8,25.8,18.1,114.6,67.7,191.6,571.8,3.0,여름
1.0,25.2,28.6,22.2,244.8,72.5,168.9,505.6,3.0,여름
1.0,25.8,29.5,22.7,259.4,73.3,171.0,477.7,3.0,여름
1.0,20.6,24.7,17.2,218.8,71.3,170.3,416.9,3.0,가을
1.0,15.5,20.2,11.6,132.5,60.7,198.4,369.7,3.0,가을
1.0,9.8,14.1,5.9,84.0,52.4,180.8,262.0,3.0,가을
1.0,2.8,7.2,0.9,30.1,42.7,203.4,257.2,3.0,겨울
2.0,2.3,1.9,6.0,14.7,52.2,193.9,243.1,1.0,겨울
2.0,0.3,5.1,3.7,30.8,51.9,189.8,300.3,1.0,겨울
2.0,6.4,11.8,2.0,24.7,51.4,235.9,442.5,1.0,봄
2.0,12.5,18.0,7.8,78.3,54.0,226.5,491.0,1.0,봄
2.0,18.8,24.5,13.9,83.4,56.0,256.9,589.5,1.0,봄
2.0,23.4,28.5,19.3,122.8,62.4,226.3,545.9,1.0,여름
2.0,25.8,29.6,22.9,432.0,74.0,145.6,394.1,1.0,여름
2.0,26.9,30.8,23.7,245.9,71.2,177.7,416.0,1.0,여름
2.0,22.0,26.7,18.0,94.8,63.4,202.6,414.8,1.0,가을
2.0,15.3,20.7,10.6,55.6,59.6,230.4,359.4,1.0,가을
2.0,7.6,12.2,3.7,65.2,59.8,169.1,229.2,1.0,가을
2.0,0.7,3.5,4.4,26.0,55.9,185.7,217.5,1.0,겨울
3.0,1.7,1.7,4.8,13.2,61.7,201.1,247.2,4.0,겨울
3.0,0.4,4.3,2.9,30.4,62.4,198.2,296.8,4.0,겨울
3.0,5.9,10.1,2.4,26.2,65.1,240.4,451.7,4.0,봄
3.0,11.4,15.7,8.0,68.7,67.0,226.7,497.2,4.0,봄
3.0,17.2,21.6,13.6,75.2,70.5,259.2,592.0,4.0,봄
3.0,21.7,25.7,18.5,92.4,78.9,242.0,571.5,4.0,여름
3.0,24.8,27.8,22.4,353.2,87.1,171.9,453.0,4.0,여름
3.0,26.3,29.4,23.8,198.4,83.1,204.7,462.3,4.0,여름
3.0,21.9,25.5,18.7,99.8,73.7,211.7,411.0,4.0,가을
3.0,15.6,19.5,11.9,51.1,67.8,234.9,348.5,4.0,가을
3.0,8.1,11.7,4.8,64.8,67.4,177.5,229.8,4.0,가을
3.0,0.0,3.4,3.2,29.3,63.7,192.6,215.8,4.0,겨울
4.0,2.1,2.9,6.7,16.5,63.8,189.8,251.2,2.0,겨울
4.0,0.4,5.7,4.5,34.0,63.0,187.9,303.4,2.0,겨울
4.0,6.1,12.3,0.8,34.7,62.9,232.7,443.7,2.0,봄
4.0,12.0,18.4,6.6,85.6,64.6,222.4,491.8,2.0,봄
4.0,18.1,24.5,12.5,81.7,65.8,255.3,593.6,2.0,봄
4.0,22.8,28.4,18.2,99.2,71.4,225.5,565.9,2.0,여름
4.0,25.7,30.0,22.5,406.3,81.6,145.3,428.0,2.0,여름
4.0,26.7,31.2,23.3,268.9,78.8,180.7,443.1,2.0,여름
4.0,21.7,26.7,17.4,107.7,73.7,196.2,388.6,2.0,가을
4.0,14.8,20.9,9.6,65.1,71.0,223.4,355.3,2.0,가을
4.0,7.7,12.9,3.0,61.8,70.4,168.3,236.0,2.0,가을
4.0,0.3,4.4,4.6,32.6,65.6,179.5,221.0,2.0,겨울
5.0,3.2,2.5,8.4,18.1,62.8,171.0,269.09999999999997,3.0,겨울
5.0,0.2,5.9,5.9,33.9,58.4,181.9,307.56666666666666,3.0,겨울
5.0,5.8,12.6,0.6,37.3,54.5,221.6,473.40000000000003,3.0,봄
5.0,12.1,19.1,5.2,81.7,54.8,217.6,535.1333333333333,3.0,봄
5.0,18.3,25.4,11.3,79.8,58.3,255.7,591.6999999999999,3.0,봄
5.0,22.9,28.9,17.5,109.4,63.6,220.5,551.1999999999999,3.0,여름
5.0,25.5,30.2,21.8,288.6,75.6,150.8,467.8666666666666,3.0,여름
5.0,25.9,30.9,22.0,253.4,75.3,175.9,485.7,3.0,여름
5.0,20.2,26.1,15.4,123.5,74.5,176.3,516.3666666666667,3.0,가을
5.0,13.1,20.2,7.5,63.9,73.3,196.7,368.4666666666667,3.0,가을
5.0,6.4,12.5,1.1,47.8,70.4,146.3,223.0666666666667,3.0,가을
5.0,1.7,3.8,6.5,30.6,67.1,157.6,260.5333333333333,3.0,겨울
6.0,1.7,3.1,6.5,20.0,72.9,172.3,242.8,3.0,겨울
6.0,0.2,5.5,4.8,39.9,69.3,181.8,305.0,3.0,겨울
6.0,5.2,11.2,0.6,36.1,69.2,232.7,454.7,3.0,봄
6.0,11.0,17.3,5.0,79.7,70.0,225.9,501.6,3.0,봄
6.0,17.1,23.2,11.6,78.1,72.8,260.0,598.6,3.0,봄
6.0,21.6,27.0,17.3,120.4,79.5,224.7,541.8,3.0,여름
6.0,24.8,28.8,21.7,272.8,87.3,158.9,436.1,3.0,여름
6.0,25.7,30.1,22.2,216.8,85.7,192.1,444.8,3.0,여름
6.0,20.7,26.0,16.1,113.3,80.6,200.9,410.3,3.0,가을
6.0,14.2,20.4,8.7,66.1,76.4,223.6,356.8,3.0,가을
6.0,7.8,13.0,2.9,70.3,76.8,159.8,224.8,3.0,가을
6.0,0.5,5.0,3.9,43.0,74.2,162.5,203.7,3.0,겨울
7.0,1.1,4.0,5.6,23.5,66.2,178.8,284.3,3.0,겨울
7.0,1.3,7.0,3.5,40.3,60.7,182.4,339.1,3.0,겨울
7.0,7.2,13.4,1.4,45.7,57.6,233.2,521.8,3.0,봄
7.0,13.1,19.5,7.1,87.6,59.4,228.3,571.1,3.0,봄
7.0,19.3,25.5,13.5,70.1,62.1,264.7,707.5,3.0,봄
7.0,23.4,28.6,18.8,136.0,70.4,222.2,636.0,3.0,여름
7.0,26.1,30.0,22.9,318.0,82.1,170.3,524.4,3.0,여름
7.0,26.9,31.2,23.4,252.9,79.5,198.7,543.3,3.0,여름
7.0,21.5,26.3,17.4,141.5,77.2,193.8,478.0,3.0,가을
7.0,14.8,20.8,9.9,79.6,74.4,217.3,424.9,3.0,가을
7.0,8.1,13.6,3.6,62.2,72.8,161.8,275.9,3.0,가을
7.0,0.6,5.6,3.6,33.8,69.6,169.5,246.6,3.0,겨울
8.0,0.5,4.0,4.6,27.6,73.6,173.8,269.09999999999997,2.0,겨울
8.0,1.5,6.2,2.9,38.3,70.9,177.2,308.1,2.0,겨울
8.0,6.1,11.5,1.2,43.5,73.4,227.9,473.3999999999999,2.0,봄
8.0,11.6,17.2,6.7,92.1,74.8,221.8,513.8333333333334,2.0,봄
8.0,17.5,23.1,12.8,79.5,76.6,247.5,596.0,2.0,봄
8.0,21.9,26.7,18.2,102.5,82.1,212.1,403.3,2.0,여름
8.0,25.3,29.2,22.5,297.8,87.9,164.2,467.8666666666666,2.0,여름
8.0,26.2,30.4,23.1,273.1,85.6,202.3,503.6666666666667,2.0,여름
8.0,21.2,26.0,17.5,131.1,81.8,197.1,516.3666666666667,2.0,가을
8.0,15.2,20.5,10.6,68.9,76.9,217.2,379.0,2.0,가을
8.0,8.9,13.6,4.6,71.6,76.2,164.8,251.46666666666667,2.0,가을
8.0,1.7,6.0,2.2,39.4,73.5,160.7,231.20000000000002,2.0,겨울
9.0,2.2,7.2,2.0,43.3,48.6,210.0,294.8333333333333,3.0,겨울
9.0,4.1,9.2,0.4,42.7,53.5,188.2,314.73333333333335,3.0,겨울
9.0,8.8,14.3,3.8,73.1,56.8,231.5,475.6666666666667,3.0,봄
9.0,13.6,19.0,8.5,111.1,60.7,224.3,532.3666666666667,3.0,봄
9.0,18.8,24.3,14.0,74.6,63.7,242.2,625.7333333333332,3.0,봄
9.0,21.7,26.2,18.0,130.3,76.3,178.1,476.4666666666667,3.0,여름
9.0,25.6,29.6,22.4,210.6,80.6,171.2,488.3666666666666,3.0,여름
9.0,26.5,30.7,23.2,181.7,79.7,203.1,493.0333333333333,3.0,여름
9.0,21.6,25.9,18.2,204.2,78.5,172.3,426.8333333333333,3.0,가을
9.0,16.5,21.5,12.4,122.7,69.6,205.9,539.3666666666667,3.0,가을
9.0,10.8,15.9,6.3,51.6,62.5,184.8,303.6666666666667,3.0,가을
9.0,3.9,8.9,0.4,32.4,51.4,203.6,276.6666666666667,3.0,겨울
10.0,2.1,6.6,1.8,25.3,46.5,208.5,282.73333333333335,2.0,겨울
10.0,4.1,8.9,0.1,46.6,48.6,188.9,315.73333333333335,2.0,겨울
10.0,8.8,14.2,4.1,81.5,54.5,227.1,517.9666666666667,2.0,봄
10.0,13.7,19.2,9.0,141.8,58.7,222.2,493.1333333333334,2.0,봄
10.0,18.8,24.4,14.3,116.0,63.7,246.9,557.8666666666667,2.0,봄
10.0,21.9,26.6,18.5,155.3,74.8,184.6,473.56666666666666,2.0,여름
